,First Name,Lastname,university of PhD,university of PhD ID,department of PhD,year of PhD,current university,current university ID,department of current faculty,year faculty started,job title
0,Iliana,Alcántar,"University of California, Los Angeles",2,,2006,Reed College,370,Spanish,,Associate Professor
1,Diego,Alonso,Princeton University,181,,1998,Reed College,370,Spanish and Humanities,,Professor
2,Kristen,G. Anderson,University of Kentucky,201,,2003,Reed College,370,Psychology,,Associate Professor
3,Derek,A. Applewhite,Northwestern University,235,,2007,Reed College,370,Biology,,Associate Professor
4,Steven,Arkonovich,"University of California, Berkeley",1,,1998,Reed College,370,Philosophy and Humanities,,Professor
5,Shawn,Baland,University of Aberdeen,402,,2013,Reed College,370,Mathematics,,Assistant Professor
6,Kara,Becker,New York University,72,,2010,Reed College,370,Linguistics,,Assistant Professor
7,Mark,Adam Bedau,"University of California, Berkeley",1,,1985,Reed College,370,Philosophy and Humanities,,Professor
8,Evgenii,V. Bershtein,"University of California, Berkeley",1,,1998,Reed College,370,Russian,,Professor
9,Elena,Bogdanovich,Lenin Pedagogical University,403,,1989,Reed College,370,Russian,,Assistant Professor
10,Miriam,A. Bowring,"University of California, Berkeley",1,,2013,Reed College,370,Chemistry,,Assistant Professor
11,Betsey,Behr Brada,University of Chicago,122,,2011,Reed College,370,Anthropology,,Assistant Professor
12,Kenneth,E. Brashier,University of Cambridge,388,,1998,Reed College,370,Religion and Humanities,,Professor
13,Andrew,Bray,"University of California, Los Angeles",2,,2013,Reed College,370,Statistics,,Assistant Professor
14,Michael,P. Breen,Brown University,262,,2000,Reed College,370,History and Humanities,,Professor
15,Mark,Burford,Columbia University,246,,2005,Reed College,370,Music,,Associate Professor
16,Enriqueta,Canseco-Gonzalez,Brandeis University,310,,1991,Reed College,370,Psychology,,Professor
17,Kara,L. Cerveny,Johns Hopkins School of Medicine,404,,2005,Reed College,370,Biology,,Associate Professor
18,Kimberly,A. Clausing,Harvard University,22,,1996,Reed College,370,Economics,,Professor
19,Kris,Cohen,University of Chicago,122,,2010,Reed College,370,Art History and Humanities,,Assistant Professor
20,Jennifer,Henderlong Corpus,Stanford University,232,,2000,Reed College,370,Psychology,,Professor
21,Troy,Cross,Rutgers University,233,,2004,Reed College,370,Philosophy and Humanities,,Associate Professor
22,Paul,J. Currie,University of Manitoba,405,,1992,Reed College,370,Psychology,,Professor
23,David,A. Dalton,Oregon State University,148,,1986,Reed College,370,Biology,,Professor
24,Ann,T. Delehanty,"University of California, Berkeley",1,,2000,Reed College,370,French and Humanities,,Professor
25,Jay,M. Dickson,Princeton University,181,,1996,Reed College,370,English and Humanities,,Professor
